Issue Type;Epic Link;Summary;Description;Priority;Story Points;Estimate (days);Labels
Epic;;INFRA: Infrastructure & Project Setup;;;;infrastructure
Epic;;AUTH: Authentication & Security;;;;authentication,security
Epic;;MEM: Member Management;;;;members
Epic;;SUB: Subscription Management;;;;subscriptions
Epic;;PAY: Payment Processing;;;;payments
Epic;;CLASS: Training Class Management;;;;classes
Epic;;RES: Reservation System;;;;reservations
Epic;;TRAIN: Trainer Management;;;;trainers
Epic;;FAC: Facility Management;;;;facilities
Epic;;REPORT: Reporting & Notifications;;;;reporting,notifications

Story;INFRA: Infrastructure & Project Setup;[INFRA-01] Project scaffolding and Docker Compose setup;"As a developer, I want a fully containerised local dev environment so that the full stack can be started with a single command.

Acceptance Criteria:
1. Docker Compose file starts backend (FastAPI/Uvicorn), frontend (React), and PostgreSQL 15+ services.
2. Backend is reachable at http://localhost:8000/api/v1.
3. Frontend is served at http://localhost:3000.
4. Database initialises with an empty schema on first run.
5. All environment-specific values (DB credentials, JWT secret, gateway keys) are loaded from a .env file — no secrets in source code.";High;8;8;infrastructure,devops

Story;INFRA: Infrastructure & Project Setup;[INFRA-02] Database migrations baseline with Alembic;"As a developer, I want versioned database migrations so that schema changes are tracked and reproducible.

Acceptance Criteria:
1. Alembic is configured with asyncpg async driver.
2. An initial migration creates all core tables (users, members, trainers, subscription_types, subscriptions, payments, facilities, classes, reservations, trainer_availability, password_reset_tokens).
3. Running alembic upgrade head on a clean DB applies all migrations without errors.
4. Direct DDL changes are prohibited; all schema changes must go through migration scripts.";High;3;3;infrastructure,database

Story;INFRA: Infrastructure & Project Setup;[INFRA-03] CI/CD pipeline setup;"As a developer, I want an automated pipeline so that tests run on every push and the build is validated.

Acceptance Criteria:
1. Pipeline runs on every push/PR to main.
2. Pipeline stages: lint (ruff/flake8 + ESLint), unit tests, integration tests, Docker build.
3. Pipeline fails and blocks merge if any stage fails.
4. Test coverage report is generated and published as a pipeline artifact.";Medium;5;5;infrastructure,devops,ci-cd

Story;INFRA: Infrastructure & Project Setup;[INFRA-04] Structured JSON logging;"As an operator, I want structured JSON logs so that log aggregation tools can parse and query them.

Acceptance Criteria:
1. Every log entry is valid JSON containing: timestamp, log_level, service_name, request_id, message.
2. No PII (email, phone) appears in logs in plaintext.
3. Log level is configurable via environment variable.";Medium;2;2;infrastructure,observability

Story;INFRA: Infrastructure & Project Setup;[INFRA-05] OpenAPI / Swagger documentation;"As a developer, I want auto-generated API docs so that frontend and QA can explore endpoints without reading source code.

Acceptance Criteria:
1. FastAPI auto-generates OpenAPI 3.x docs available at /api/v1/docs.
2. Every endpoint documents request body, path/query params, and response schemas.
3. Auth-protected endpoints are marked with the Bearer security scheme.";Low;2;2;infrastructure,documentation

Story;AUTH: Authentication & Security;[AUTH-01] User login with JWT;"As a user, I want to log in with email and password so that I can access my role-appropriate dashboard.

Acceptance Criteria:
1. (REQ-1) Login form accepts email and password.
2. (REQ-2) System validates credentials against stored bcrypt hash.
3. (REQ-3) On success, returns access token (15-min TTL) and refresh token (7-day TTL) in response body.
4. (REQ-4) User is redirected to their role-appropriate dashboard (Admin / Member / Trainer).
5. Invalid credentials return a generic error that does not reveal which field is wrong.";High;5;5;authentication

Story;AUTH: Authentication & Security;[AUTH-02] Password reset via email;"As a user, I want to reset my password via email so that I can regain access if I forget it.

Acceptance Criteria:
1. (REQ-5) Reset email is sent within 30 seconds of the request.
2. (REQ-6) Reset token expires 60 minutes after issuance.
3. (REQ-7) Each token is single-use; a second click returns an error.
4. (REQ-8) New password requires at least 8 characters, one uppercase letter, and one digit.
5. The email input form returns a generic success message regardless of whether the email exists (no user enumeration).";High;5;5;authentication,email

Story;AUTH: Authentication & Security;[AUTH-03] JWT access token refresh;"As a frontend client, I want to silently refresh my access token so that the user session continues uninterrupted after token expiry.

Acceptance Criteria:
1. (REQ-9) POST /api/v1/auth/refresh accepts a valid refresh token and returns a new access token.
2. (REQ-10) Revoked refresh tokens (e.g., after password change) are rejected with 401.
3. (REQ-11) Refresh tokens are rotated on each use and stored securely.
4. Frontend automatically redirects to login on 401 from the refresh endpoint.";High;3;3;authentication

Story;AUTH: Authentication & Security;[AUTH-04] Role-based access control (RBAC);"As a system, I want every API endpoint to enforce role-based permissions so that users cannot access resources outside their role.

Acceptance Criteria:
1. (REQ-12) Access control is enforced server-side on every protected endpoint; client-side hiding is supplementary only.
2. (REQ-13) Administrators have access to all resources.
3. (REQ-14) Members can only access their own profile, subscription, payment history, and reservations.
4. (REQ-15) Trainers can only access their own profile, schedule, and reservation lists of their own classes.
5. Requests with insufficient role return HTTP 403 Forbidden.";High;5;5;authentication,security

Story;AUTH: Authentication & Security;[AUTH-05] Account lockout after failed logins;"As a security control, I want accounts to be temporarily locked after repeated failed login attempts so that brute-force attacks are mitigated.

Acceptance Criteria:
1. (REQ-16) Account is locked after 5 consecutive failed login attempts.
2. (REQ-17) Lockout duration is 15 minutes; account unlocks automatically.
3. (REQ-18) A notification email is sent to the account owner when lockout is triggered.
4. (REQ-19) Administrators can manually unlock any account from the admin panel.
5. A locked user sees a clear lockout message with remaining time.";High;3;3;authentication,security

Story;AUTH: Authentication & Security;[AUTH-06] Automatic session expiry after inactivity;"As a security control, I want inactive frontend sessions to expire automatically so that unattended sessions cannot be exploited.

Acceptance Criteria:
1. (REQ-20) Inactivity timeout is 30 minutes, configurable by an Administrator.
2. (REQ-21) A warning dialog is shown 60 seconds before session expiry.
3. (REQ-22) On expiry, all locally stored tokens are cleared and user is redirected to login.
4. Any user interaction resets the inactivity timer.";Medium;2;2;authentication,security

Story;MEM: Member Management;[MEM-01] Create member profile;"As an administrator, I want to register new members so that they can access the system.

Acceptance Criteria:
1. (REQ-23) Creation form captures: first name, last name, email, phone, date of birth.
2. (REQ-24) Email uniqueness is validated before record creation.
3. (REQ-25) A welcome email with a password-set link is sent to the new member.
4. (REQ-26) Newly created member defaults to 'inactive' subscription status.
5. Duplicate email submission shows a validation error without creating the record.";High;3;3;members

